MO,DY,NO_PREC,HIGH_PREC,YR_PREC,
10,17,38,1.05,1969,
10,18,38,0.55,1969,
10,19,38,1.61,1990,
10,20,38,1.60,1979,
10,21,38,0.58,1970,
10,22,38,0.90,1985,
10,23,38,0.82,1991,
10,24,38,1.05,1970,
10,25,38,0.51,1992,
10,26,38,1.12,1989,
10,27,38,0.64,1984,
10,28,38,0.91,1959,
10,29,38,1.15,1981,
10,30,38,1.25,1992,
10,31,38,2.17,1974,
11,1,36,0.38,1990,
11,2,36,2.06,1992,
11,3,36,0.91,1988,
11,4,36,0.31,1963,
11,5,36,0.97,1972,
11,6,36,0.88,1987,
11,7,36,1.20,1970,
11,8,36,0.84,1975,
11,9,36,0.89,1968,
11,10,35,0.42,1982,
11,11,35,1.02,1964,
11,12,36,1.09,1985,
11,13,36,0.97,1964,
11,14,36,1.01,1987,
11,15,36,0.46,1965,
11,16,36,0.74,1969,
11,17,36,1.04,1965,
11,18,36,1.35,1979,
11,19,36,0.61,1973,
11,20,36,1.80,1983,
11,21,36,0.78,1967,
11,22,35,0.83,1993,
11,23,33,0.90,1993,
11,24,33,0.75,1980,
11,25,34,0.92,1983,
11,26,35,1.09,1970,
11,27,36,0.73,1970,
11,28,36,0.39,1971,
11,29,36,1.14,1985,
11,30,36,0.95,1982,
12,1,38,1.30,1982,
12,2,38,0.98,1982,
12,3,38,1.03,1971,
12,4,38,0.54,1977,
12,5,38,0.76,1966,
12,6,38,1.20,1956,
12,7,38,0.88,1966,
12,8,37,0.95,1985,
12,9,37,1.02,1985,
12,10,38,0.74,1965,
12,11,38,1.18,1956,
12,12,37,0.80,1992,
12,13,37,0.79,1983,
12,14,37,1.23,1983,
12,15,38,0.80,1983,
12,16,38,0.54,1993,
12,17,38,0.71,1957,
12,18,38,1.10,1977,
12,19,38,0.90,1981,
12,20,38,0.91,1974,
12,21,38,0.68,1981,
12,22,38,1.07,1987,
12,23,37,0.70,1982,
12,24,38,1.31,1964,
12,25,38,1.01,1964,
12,26,38,2.18,1983,
12,27,38,1.39,1983,
12,28,38,1.04,1964,
12,29,37,0.48,1964,
12,30,36,0.94,1965,
12,31,36,0.52,1983,
